Train signal size,Train background size,ACC,AUC,ACC-true,AUC-true,time,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Loss,Loss-true
17184,26434,0.6131627559661865,0.5297685060565276,0.5,0.276749655,2023-12-21 17:15:47.157498,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.606072723865509,0.5370177375293137,0.7200000286102295,0.8790526349999999,2023-12-21 17:16:22.663895,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.609242856502533,0.5273533423059668,0.5069500207901001,0.571721575,2023-12-21 17:17:20.114718,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.6022772789001465,0.5339836668072497,0.7626500129699707,0.894303855,2023-12-21 17:18:07.151577,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.6141943335533142,0.5327411395244505,0.5005499720573425,0.722215505,2023-12-21 17:18:50.928963,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.60347580909729,0.5283610092700156,0.7334499955177307,0.8734293549999999,2023-12-21 17:19:44.359023,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.6135753989219666,0.5236329295648273,0.5019000172615051,0.733639235,2023-12-21 17:20:24.480074,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.6054734587669373,0.5390792624419721,0.7980999946594238,0.917795785,2023-12-21 17:21:29.725588,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.6133691072463989,0.5299322566173172,0.5005000233650208,0.65276337,2023-12-21 17:21:59.285288,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.5978825688362122,0.5264441338450091,0.5,0.7572759,2023-12-21 17:22:58.296201,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.6125438213348389,0.5261689546882009,0.5036500096321106,0.63665043,2023-12-21 17:23:35.253329,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.6044746041297913,0.5357964742703998,0.6932500004768372,0.8822652449999999,2023-12-21 17:24:31.918546,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.6123375296592712,0.5251353970390309,0.5006499886512756,0.59460244,2023-12-21 17:25:05.337357,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.6048741340637207,0.5372979907248392,0.8726500272750854,0.949978485,2023-12-21 17:26:26.323135,Sensitivity: 10.0,SB_10.0,,,,,
17184,26434,0.6125438213348389,0.5277690444145356,0.5039499998092651,0.65200939,2023-12-21 17:26:40.352812,Sensitivity: 1.0,SB_1.0,,,,,
18284,26770,0.6072712540626526,0.53499787299692,0.7694500088691711,0.90756582,2023-12-21 17:28:10.155940,Sensitivity: 10.0,SB_10.0,,,,,
