Train signal size,Train background size,ACC,AUC,ACC-true,AUC-true,Sample Type,time
23273,22446,0.5564960837364197,0.5895412288499086,0.8752999901771545,0.92060352,With signal,2023-11-09 21:28:54.234879
23273,22446,0.5561023354530334,0.593628674458414,0.8708999752998352,0.94824736,With signal,2023-11-09 21:44:34.185744
23273,22446,0.5671259760856628,0.5990055235751467,0.8881999850273132,0.9508640599999998,With signal,2023-11-09 21:45:24.925007
23273,22446,0.5470472574234009,0.5784159023068592,0.8755000233650208,0.9320763,With signal,2023-11-09 21:46:10.268749
23273,22446,0.5618110299110413,0.59779305419159,0.8348000049591064,0.8890227799999999,With signal,2023-11-09 21:46:58.501209
23273,22446,0.5486220717430115,0.5665550047938266,0.8366000056266785,0.8994752800000001,With signal,2023-11-09 21:47:33.287233
23273,22446,0.5620078444480896,0.5880927556933969,0.8364999890327454,0.89588812,With signal,2023-11-09 21:48:28.532787
23273,22446,0.5651574730873108,0.5901513451826894,0.8769999742507935,0.93522242,With signal,2023-11-09 21:49:08.068943
23273,22446,0.5600393414497375,0.5842700380012655,0.892300009727478,0.9297133,With signal,2023-11-09 21:50:08.493872
23273,22446,0.5694881677627563,0.5936670250715192,0.8962000012397766,0.94901574,With signal,2023-11-09 21:51:10.868619
23270,22443,0.5570865869522095,0.5790014300594427,0.8636999726295471,0.90956966,No signal,2023-11-09 22:05:39.202798
23270,22443,0.5405511856079102,0.5657313447573518,0.7940999865531921,0.8795043599999999,No signal,2023-11-09 22:10:01.641128
23270,22443,0.5562992095947266,0.5790867430182716,0.842199981212616,0.91333656,No signal,2023-11-09 22:10:48.460146
23270,22443,0.5543307065963745,0.5750410922791229,0.8173999786376953,0.8893672400000001,No signal,2023-11-09 22:11:39.672904
23270,22443,0.5570865869522095,0.5808339896764333,0.8600999712944031,0.91862174,No signal,2023-11-09 22:12:22.054518
23270,22443,0.5456693172454834,0.5740528126805331,0.8285999894142151,0.8836149,No signal,2023-11-09 22:13:10.678028
23270,22443,0.5541338324546814,0.5720706642813195,0.8338000178337097,0.8810099199999999,No signal,2023-11-09 22:14:04.773277
23270,22443,0.5564960837364197,0.5828952408099933,0.8661999702453613,0.92136616,No signal,2023-11-09 22:14:53.194997
23270,22443,0.5543307065963745,0.5912066171183906,0.8967999815940857,0.9463183399999998,No signal,2023-11-09 22:15:50.515158
23270,22443,0.567322850227356,0.5978139854565858,0.8938999772071838,0.94880094,No signal,2023-11-09 22:16:53.394072
180417,165624,0.9700122475624084,0.9968255542305816,0.7098000049591064,0.77055216,500 GeV: With signal,2023-11-21 13:25:26.467682
180417,165624,0.9549533128738404,0.992380631741558,0.7087000012397766,0.76604158,500 GeV: With signal,2023-11-21 13:35:34.466459
180417,165624,0.968477725982666,0.996303581494932,0.708299994468689,0.7731207200000001,500 GeV: With signal,2023-11-21 13:49:04.089753
180417,165624,0.9735754132270812,0.9974469469889968,0.7098000049591064,0.77023326,500 GeV: With signal,2023-11-21 14:06:19.661063
180417,165624,0.96559077501297,0.9951948533795868,0.704200029373169,0.76865152,500 GeV: With signal,2023-11-21 14:15:48.267970
180417,165624,0.9685817360877992,0.9966656770014636,0.7080000042915344,0.76305886,500 GeV: With signal,2023-11-21 14:32:14.875401
180417,165624,0.9680615663528442,0.9964886253997508,0.707099974155426,0.7747563799999999,500 GeV: With signal,2023-11-21 14:44:41.303646
180417,165624,0.971676766872406,0.996842427773863,0.7110999822616577,0.78577846,500 GeV: With signal,2023-11-21 14:58:07.254486
180127,165669,0.9762115478515624,0.9978499548991174,0.7045000195503235,0.7649539599999999,500 GeV: No signal,2023-11-21 15:05:26.071156
180417,165624,0.9734453558921814,0.9974980798417256,0.7069000005722046,0.76422924,500 GeV: With signal,2023-11-21 15:13:17.202307
180417,165624,0.9745376706123352,0.997395216542902,0.7039999961853027,0.7613589,500 GeV: With signal,2023-11-21 15:28:07.259609
180127,165669,0.9687678813934326,0.996535707858864,0.7013999819755554,0.7592336,500 GeV: No signal,2023-11-21 15:33:35.097955
180127,165669,0.9742855429649352,0.997327683930356,0.7074999809265137,0.78142836,500 GeV: No signal,2023-11-21 15:47:15.828684
180127,165669,0.9695487022399902,0.9964586661279838,0.7091000080108643,0.7825025800000001,500 GeV: No signal,2023-11-21 15:58:40.215911
180127,165669,0.966946005821228,0.9958038093794808,0.7074000239372253,0.7705251200000001,500 GeV: No signal,2023-11-21 16:12:29.060547
180127,165669,0.9715267419815063,0.9972908400687126,0.7026000022888184,0.75555718,500 GeV: No signal,2023-11-21 16:24:25.225698
180127,165669,0.9731403589248656,0.9976981857161702,0.7006000280380249,0.76619718,500 GeV: No signal,2023-11-21 16:38:00.332571
180127,165669,0.9751183986663818,0.9977746804356946,0.7042999863624573,0.77032616,500 GeV: No signal,2023-11-21 16:51:59.698088
180127,165669,0.9666857719421388,0.996277701740937,0.7081999778747559,0.772469,500 GeV: No signal,2023-11-21 17:03:27.907725
180127,165669,0.9710582494735718,0.997138168249161,0.7073000073432922,0.7714945,500 GeV: No signal,2023-11-21 17:18:53.467689
180127,165669,0.6066836714744568,0.6361349102223788,0.5175999999046326,0.56464234,"500 GeV: No signal, no Higgs pT, m",2023-11-28 13:01:16.339142
180417,165624,0.60649174451828,0.6395919629790232,0.538100004196167,0.57268964,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:02:51.468196
180417,165624,0.6052693128585815,0.6386855385115725,0.5224999785423279,0.56505184,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:17:08.558113
180417,165624,0.6040469408035278,0.6395439265000813,0.5386999845504761,0.5769262,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:24:29.864246
180127,165669,0.6554057598114014,0.7116731457786403,0.5547000169754028,0.5554882000000001,"500 GeV: No signal, no Higgs pT, m",2023-11-28 13:30:29.429462
180417,165624,0.606569766998291,0.6383474375304895,0.5015000104904175,0.44866596,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:31:26.437140
